Building_Category,Building_Type
Hospitality,Star Hotel (24 Hrs)
Hospitality,No Star Hotel (24 Hrs)
Hospitality,Resort (24 Hrs)
Educational,College (24 Hrs)
Educational,College (Day)
Educational,University (24 Hrs)
Educational,University (Day)
Educational,Institution (24 Hrs)
Educational,Institution (Day)
Educational,School (24 Hrs)
Educational,School (Day)
Health Care,Hospital (24 Hrs)
Health Care,Out-Patient Healthcare (Day)
Shopping Complex,Shopping Mall (24 Hrs)
Shopping Complex,Stand-alone Retail (Day)
Shopping Complex,Stand-alone Retail (24 Hrs)
Shopping Complex,Open Gallery Malls (24 Hrs)
Shopping Complex,Super Markets (Day)
Shopping Complex,Super Markets (24 Hrs)
Business,Large Office (Day)
Business,Large Office (24 Hrs)
Business,Medium Office (Day)
Business,Medium Office (24 Hrs)
Business,Small Office (Day)
Business,Small Office (24 Hrs)
Assembly,Multiplex (24 Hrs)
Assembly,Theatre (24 Hrs)
Assembly,Building used for Transport Services (24 Hrs)
